Date,Sentiment,Daily Change,Direction
07/01/2017,0.3,1.135002,UP
08/01/2017,0.108417508,0.567501,UP
09/01/2017,0,0.567501,UP
10/01/2017,0.35,-1.410004,DOWN
11/01/2017,0.21,-0.139999,DOWN
12/01/2017,0.197004913,-0.14,DOWN
13/01/2017,0,8.160004,UP
14/01/2017,0.35,-1.084999,DOWN
15/01/2017,0,-0.5424995,DOWN
16/01/2017,0.041666667,-0.27124975,DOWN
17/01/2017,0,-0.27124975,DOWN
18/01/2017,0.4,2.779999,UP
19/01/2017,0.20842803,5.399994,UP
20/01/2017,0,0.970001,UP
21/01/2017,-0.003703704,2.095001,UP
22/01/2017,0.007700893,1.0475005,UP
23/01/2017,0.1875,1.0475005,UP
24/01/2017,0.242708333,5.690003,UP
25/01/2017,0.055357143,-0.14,DOWN
26/01/2017,0,-1.960006,DOWN
27/01/2017,0.370484007,0.440002,UP
28/01/2017,-0.00625,-1.159996,DOWN
29/01/2017,0.191150794,-0.579998,DOWN
30/01/2017,0.151190476,-0.579998,DOWN
31/01/2017,0,1.299988,UP
01/02/2017,0,-2.689988,DOWN
02/02/2017,0,2.309998,UP
03/02/2017,0,-0.220001,DOWN
04/02/2017,0.104995332,3.2199935,UP
05/02/2017,0.140343065,1.60999675,UP
06/02/2017,0,1.60999675,UP
07/02/2017,0.0375,-0.289978,DOWN
08/02/2017,0,4.599976,UP
09/02/2017,0,7.120025,UP
10/02/2017,-0.016666667,0.029999,UP
11/02/2017,0.15,5.6849975,UP
12/02/2017,0,2.84249875,UP
13/02/2017,0,2.84249875,UP
14/02/2017,0,0.380005,UP
15/02/2017,0.475,-1.220001,DOWN
16/02/2017,0.333862434,-10.809998,DOWN
17/02/2017,0.089583333,3.279999,UP
18/02/2017,0.131219336,2.580002,UP
19/02/2017,0,1.290001,UP
20/02/2017,0,0.6450005,UP
21/02/2017,0,0.6450005,UP
22/02/2017,0,-3.880005,DOWN
23/02/2017,1,-17.520005,DOWN
24/02/2017,0.214095238,1.009995,UP
25/02/2017,0.333333333,-5.385002,DOWN
26/02/2017,0,-2.692501,DOWN
27/02/2017,0.325,-2.692501,DOWN
28/02/2017,0.458333333,3.760009,UP
01/03/2017,0,0.029999,UP
02/03/2017,0.65,0.459992,UP
03/03/2017,0,1.090011,UP
04/03/2017,0,-0.18,DOWN
05/03/2017,0.4,-0.09,DOWN
06/03/2017,0.05,-0.09,DOWN
07/03/2017,0,-2.620011,DOWN
08/03/2017,0,-1.720001,DOWN
09/03/2017,0,-1.970001,DOWN
10/03/2017,0.15,-1.209992,DOWN
11/03/2017,0.411904762,1.239998,UP
12/03/2017,0.203285137,0.619999,UP
13/03/2017,0.5,0.619999,UP
14/03/2017,-0.033333333,11.830002,UP
15/03/2017,0,-2.270004,DOWN
16/03/2017,0.4,6.319992,UP
17/03/2017,0,-0.549988,DOWN
18/03/2017,0,0.2100065,UP
19/03/2017,0,0.10500325,UP
20/03/2017,0,0.10500325,UP
21/03/2017,0,-11.24002,DOWN
22/03/2017,0,4.330002,UP
23/03/2017,0,-0.229996,DOWN
24/03/2017,0.044186354,8.380005,UP
25/03/2017,0,3.5299985,UP
26/03/2017,0,1.76499925,UP
27/03/2017,0,1.76499925,UP
28/03/2017,0.051428571,7.230011,UP
29/03/2017,-0.1,-0.070007,DOWN
30/03/2017,-0.1,0.540008,UP
31/03/2017,0.15675,0.379975,UP
01/04/2017,0.055,10.1100005,UP
02/04/2017,0.06875,5.05500025,UP
03/04/2017,-0.066666667,5.05500025,UP
04/04/2017,0,5.180023,UP
05/04/2017,0,-8.700012,DOWN
06/04/2017,0.285714286,3.700012,UP
07/04/2017,0.022222222,3.839997,UP
08/04/2017,0,4.925003,UP
09/04/2017,0,2.4625015,UP
10/04/2017,0,2.4625015,UP
11/04/2017,0,-3.680024,DOWN
12/04/2017,0.15,-11.869995,DOWN
13/04/2017,0.033333333,7.160004,UP
14/04/2017,0,-1.279999,DOWN
15/04/2017,0,-0.6399995,DOWN
16/04/2017,0,-0.31999975,DOWN
17/04/2017,0.15,-0.31999975,DOWN
18/04/2017,-0.5,-1.190002,DOWN
19/04/2017,0,5.269989,UP
20/04/2017,0.136363636,-3.009979,DOWN
21/04/2017,0,3.089996,UP
22/04/2017,0.8,1.2149965,UP
23/04/2017,-0.125,0.60749825,UP
24/04/2017,0.145,0.60749825,UP
25/04/2017,0,5.76001,UP
26/04/2017,0,-3.619996,DOWN
27/04/2017,0.166666667,-1.540008,DOWN
28/04/2017,-0.53125,5.440002,UP
