Date,Daily Change,Sentiment
17/02/2017,3.279999,0.089583333
18/02/2017,2.580002,0.131219336
19/02/2017,1.290001,0
20/02/2017,0.6450005,0
21/02/2017,0.6450005,0
22/02/2017,-3.880005,0
23/02/2017,-17.520005,1
24/02/2017,1.009995,0.214095238
25/02/2017,-5.385002,0.333333333
26/02/2017,-2.692501,0
27/02/2017,-2.692501,0.325
28/02/2017,3.760009,0.458333333
01/03/2017,0.029999,0
02/03/2017,0.459992,0.65
03/03/2017,1.090011,0
04/03/2017,-0.18,0
05/03/2017,-0.09,0.4
06/03/2017,-0.09,0.05
07/03/2017,-2.620011,0
08/03/2017,-1.720001,0
09/03/2017,-1.970001,0
10/03/2017,-1.209992,0.15
11/03/2017,1.239998,0.411904762
12/03/2017,0.619999,0.203285137
13/03/2017,0.619999,0.5
14/03/2017,11.830002,-0.033333333
15/03/2017,-2.270004,0
16/03/2017,6.319992,0.4
17/03/2017,-0.549988,0
18/03/2017,0.2100065,0
19/03/2017,0.10500325,0
20/03/2017,0.10500325,0
21/03/2017,-11.24002,0
22/03/2017,4.330002,0
23/03/2017,-0.229996,0
24/03/2017,8.380005,0.044186354
25/03/2017,3.5299985,0
26/03/2017,1.76499925,0
27/03/2017,1.76499925,0
28/03/2017,7.230011,0.051428571
29/03/2017,-0.070007,-0.1
30/03/2017,0.540008,-0.1
31/03/2017,0.379975,0.15675
01/04/2017,10.1100005,0.055
02/04/2017,5.05500025,0.06875
03/04/2017,5.05500025,-0.066666667
04/04/2017,5.180023,0
05/04/2017,-8.700012,0
06/04/2017,3.700012,0.285714286
07/04/2017,3.839997,0.022222222
08/04/2017,4.925003,0
09/04/2017,2.4625015,0
10/04/2017,2.4625015,0
11/04/2017,-3.680024,0
12/04/2017,-11.869995,0.15
13/04/2017,7.160004,0.033333333
14/04/2017,-1.279999,0
15/04/2017,-0.6399995,0
16/04/2017,-0.31999975,0
17/04/2017,-0.31999975,0.15
18/04/2017,-1.190002,-0.5
19/04/2017,5.269989,0
20/04/2017,-3.009979,0.136363636
21/04/2017,3.089996,0
22/04/2017,1.2149965,0.8
23/04/2017,0.60749825,-0.125
24/04/2017,0.60749825,0.145
25/04/2017,5.76001,0
26/04/2017,-3.619996,0
27/04/2017,-1.540008,0.166666667
28/04/2017,5.440002,-0.53125
29/04/2017,4.37999,0
30/04/2017,2.189995,0
01/05/2017,2.189995,-0.087037037
02/05/2017,-3.939972,0
03/05/2017,-7.870026,0
04/05/2017,-15.559998,0.85
05/05/2017,12.890015,0.078205128
06/05/2017,-0.580002,0
07/05/2017,-0.290001,0.45
08/05/2017,-0.290001,0
09/05/2017,14.070008,0.35
10/05/2017,3.959991,0.15969697
11/05/2017,-2.119995,0.1125
