Sentiment,Previous,Direction
-0.007070707,1,-1
0.072940341,-1,-1
0.0675,-1,-1
0.124166667,-1,-1
0,-1,-1
0.066666667,-1,1
0,1,1
0,1,1
0.092857143,1,-1
0,-1,1
0,1,1
0.105,1,1
0.020606061,1,1
0.104166667,1,-1
0.148611111,-1,1
0.032086168,1,1
0.206659226,1,1
0.158571429,1,1
0.017261905,1,1
0.005555556,1,-1
0.014316239,-1,1
0.0575,1,-1
0.169482887,-1,1
0,1,1
0.00479798,1,1
0.07893544,1,1
0.133045455,1,-1
0.140701754,-1,-1
0.035416667,-1,1
0.150710227,1,1
0.3,1,1
0.127857143,1,1
0.233333333,1,1
0.268668831,1,-1
0.149074074,-1,1
0.079166667,1,-1
0,-1,-1
0.020512821,-1,-1
0.06,-1,-1
0.100826281,-1,-1
0.111296143,-1,-1
0.316666667,-1,1
0.219230769,1,-1
0.156827731,-1,1
0.103502747,1,1
0,1,1
0.078030303,1,1
0.105984849,1,-1
